CONNECTION HANDLER 2025-01-21 21:24:08.114538 COLOR: blue, VALUE: b1 
CONNECTION HANDLER 2025-01-21 21:24:08.203799 COLOR: blue, VALUE: b1 
CONNECTION HANDLER 2025-01-21 21:24:08.204812 COLOR: blue, VALUE: b1 
CONNECTION HANDLER 2025-01-21 21:24:08.224378 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:08.231902 COLOR: blue, VALUE: 8 
Player None 2025-01-21 21:24:12.323488 CLICKED, PLAYABLE=1 
CONNECTION HANDLER 2025-01-21 21:24:12.389234 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:12.389234 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:12.412855 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:12.420488 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:12.446640 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:12.447535 COLOR: blue, VALUE: 8 
Player None 2025-01-21 21:24:12.596924 False False 
CONNECTION HANDLER 2025-01-21 21:24:12.596924 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:12.596924 COLOR: blue, VALUE: 8 
Player None 2025-01-21 21:24:12.618079 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:24:14.800494 CLICKED, PLAYABLE=1 
CONNECTION HANDLER 2025-01-21 21:24:14.866319 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:14.866319 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:14.893442 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:14.899452 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:14.925268 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:14.928281 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:15.075551 COLOR: blue, VALUE: 8 
Player None 2025-01-21 21:24:15.075551 False False 
CONNECTION HANDLER 2025-01-21 21:24:15.075551 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:15.164390 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:15.165335 COLOR: blue, VALUE: 8 
CONNECTION HANDLER 2025-01-21 21:24:15.183408 COLOR: blue, VALUE: d 
CONNECTION HANDLER 2025-01-21 21:24:15.192931 COLOR: blue, VALUE: d 
CONNECTION HANDLER 2025-01-21 21:24:23.206174 COLOR: blue, VALUE: d 
CONNECTION HANDLER 2025-01-21 21:25:16.414473 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:25:16.510863 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:25:16.543948 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:25:16.639495 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:25:18.820082 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:25:18.907883 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:25:18.951533 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:25:19.051927 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:25:19.051927 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:25:19.152940 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:25:19.152940 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:25:19.253997 COLOR: yellow, VALUE: y9 
CONNECTION HANDLER 2025-01-21 21:25:19.253489 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:25:19.278594 COLOR: yellow, VALUE: y9 
Player None 2025-01-21 21:25:22.007631 CLICKED, PLAYABLE=1 
CONNECTION HANDLER 2025-01-21 21:25:22.072803 COLOR: yellow, VALUE: y9 
CONNECTION HANDLER 2025-01-21 21:25:22.072803 COLOR: yellow, VALUE: y9 
CONNECTION HANDLER 2025-01-21 21:25:22.091879 COLOR: yellow, VALUE: y9 
CONNECTION HANDLER 2025-01-21 21:25:22.102418 COLOR: yellow, VALUE: y9 
CONNECTION HANDLER 2025-01-21 21:25:22.133162 COLOR: yellow, VALUE: y9 
CONNECTION HANDLER 2025-01-21 21:25:22.133162 COLOR: yellow, VALUE: y9 
CONNECTION HANDLER 2025-01-21 21:25:22.283554 COLOR: yellow, VALUE: y9 
CONNECTION HANDLER 2025-01-21 21:25:22.283554 COLOR: yellow, VALUE: y9 
Player None 2025-01-21 21:25:22.283554 True False 
CONNECTION HANDLER 2025-01-21 21:25:37.763141 COLOR: yellow, VALUE: y9 
CONNECTION HANDLER 2025-01-21 21:26:50.723135 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:26:50.831960 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:26:50.855022 COLOR: None, VALUE: None 
Player None 2025-01-21 21:26:50.858803 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:50.897998 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:50.926242 CLICKED, PLAYABLE=1 
CONNECTION HANDLER 2025-01-21 21:26:50.948802 COLOR: None, VALUE: None 
Player None 2025-01-21 21:26:50.954815 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:50.987548 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:51.018106 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:51.045695 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:51.077290 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:51.107887 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:51.138475 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:51.171057 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:51.199625 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:51.230321 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:51.257883 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:51.288440 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:51.317013 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:51.346583 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.039208 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.070310 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.098881 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.131455 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.160031 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.194876 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.229013 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.264662 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.299773 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.333368 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.363976 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.396090 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.425158 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.459253 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.486313 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.515882 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.548479 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.581062 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.608619 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.639226 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.668315 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.699890 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.730453 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.762023 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.792119 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.823762 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.853336 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.884459 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.915031 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:52.946243 CLICKED, PLAYABLE=1 
